topic ,evidence_1,evidence_2,label,reason,evidence_1_wikipedia_article_name,evidence_2_wikipedia_article_name,evidence_1_wikipedia_url,evidence_2_wikipedia_url
We should further exploit nuclear power,"The Potomac Alliance was a coalition of concerned citizens from Washington, D.C. who opposed reliance on nuclear power and favored the use of safe, clean, renewable energy alternatives.","According to a TNS Gallup survey conducted in January 2010, 48% of Finns had a positive view of nuclear power, and 17% were negative [REF].",2,One candidate has distinctively descriptive nature that cannot be used in an argumentative way,Anti-nuclear groups in the United States,Nuclear energy policy by country,https://en.wikipedia.org/wiki/Anti-nuclear_groups_in_the_United_States,https://en.wikipedia.org/wiki/Nuclear_energy_policy_by_country
We should support water privatization,Oscar Olivera was a prominent leader in the 2001 protests in Cochabamba against the privatization of water in Bolivia and has also become a leading figure.,"In Italy, in June 2011 a law favoring water privatization was repealed by an overwhelming majority of Italians through a referendum [REF].",2,One candidate has distinctively descriptive nature that cannot be used in an argumentative way,Bolivian gas conflict,Water privatization,https://en.wikipedia.org/wiki/Bolivian_gas_conflict,https://en.wikipedia.org/wiki/Water_privatization
We should further exploit nuclear power,"Jacobson's analyses show that ""nuclear power results in up to 25 times more carbon emissions than wind energy, when reactor construction, uranium refining and transport are considered"" [REF].","Kristin Shrader-Frechette has said ""if reactors were safe, nuclear industries would not demand government-guaranteed, accident-liability protection, as a condition for their generating electricity"" [REF].",1,prefer study results to mere statements,Mark Z. Jacobson,Nuclear safety,https://en.wikipedia.org/wiki/Mark_Z._Jacobson,https://en.wikipedia.org/wiki/Nuclear_safety
We should further exploit nuclear power,Proponents of nuclear energy contend that nuclear power is a sustainable energy source that reduces carbon emissions and increases energy security by decreasing dependence on imported energy sources [REF].,"A study of life-cycle emissions by Swedish utility Vattenfall reported that nuclear power produced 3.3 g CO2/kWh, wind power produced 10, natural gas produced 400 and coal 700 [REF].",2,prefer study results to mere statements,Nuclear power,Comparisons of life-cycle greenhouse-gas emissions,https://en.wikipedia.org/wiki/Nuclear_power,https://en.wikipedia.org/wiki/Comparisons_of_life-cycle_greenhouse-gas_emissions
We should legalize the growing of coca leaf,"Addiction or other deleterious effects from the consumption of the leaf in its natural form have not been documented in over a 5,000 year time spand,thus leading to the logical conclusion that coca left in its natural form causes no addictive properties at all [REF].","Bolivia stated that ""the coca leaf is not, in and of itself, a narcotic drug or psychotropic substance"" and stressed that its ""legal system recognizes the ancestral nature of the licit use of the coca leaf, which, for much of Bolivia's population, dates back over centuries.""[REF][REF] .",2,"Prefer statements attributed to a person/group/entity (although ""Bolivia"" is a weak attributuion)",Coca,Coca,https://en.wikipedia.org/wiki/Coca,https://en.wikipedia.org/wiki/Coca
We should legalize the growing of coca leaf,"In 1609, Padre Blas Valera wrote: Coca protects the body from many ailments, and our doctors use it in powdered form to reduce the swelling of wounds, to strengthen broken bones, to expel cold from the body or prevent it from entering, and to cure rotten wounds or sores that are full of maggots.","Furthermore, indigenous cultures living in the Altiplano, such as the Aymaras, use the coca leaf (which they dub the ""millenary leaf"") in many of their cultural traditions, notably for its medicinal qualities in alleviating the feeling of hunger, fatigue and headaches symptomatic of altitude sicknesses.",2,Prefer modern examples to medieval/ancient,Cocaine,Coca eradication,https://en.wikipedia.org/wiki/Cocaine,https://en.wikipedia.org/wiki/Coca_eradication
We should ban human cloning,"Australia had prohibited human cloning,[REF] though as of December 2006, a bill legalising therapeutic cloning and the creation of human embryos for stem cell research passed the House of Representatives.","According to the Paul campaign, Paul received a 100% pro-life score on a Kentucky Right to Life survey[REF] and indicated on the survey that he opposed human cloning.",1,Political opinion,Human cloning,Rand Paul,https://en.wikipedia.org/wiki/Human_cloning,https://en.wikipedia.org/wiki/Rand_Paul
We should legalize the growing of coca leaf,"Addiction or other deleterious effects from the consumption of the leaf in its natural form have not been documented in over a 5,000 year time spand,thus leading to the logical conclusion that coca left in its natural form causes no addictive properties at all [REF].","Furthermore, indigenous cultures living in the Altiplano, such as the Aymaras, use the coca leaf (which they dub the ""millenary leaf"") in many of their cultural traditions, notably for its medicinal qualities in alleviating the feeling of hunger, fatigue and headaches symptomatic of altitude sicknesses.",2,"Hard to decide, one is not attributed to anyone, and the second is weak ",Coca,Coca eradication,https://en.wikipedia.org/wiki/Coca,https://en.wikipedia.org/wiki/Coca_eradication
We should ban human cloning,"Democratic transhumanists, such as American sociologist James Hughes, counter that many influential members of the American Establishment are bioconservatives strongly opposed to human enhancement, as demonstrated by President Bush's Council on Bioethics's proposed international treaty prohibiting human cloning and germline engineering.","In 2005, in a divided vote, ""Member States were called on to adopt all measures necessary to prohibit all forms of human cloning in as much as they are incompatible with human dignity and the protection of human life."" .",2,"Hard to decide, both are bad",New World Order (conspiracy theory),Stem cell research policy,https://en.wikipedia.org/wiki/New_World_Order_(conspiracy_theory),https://en.wikipedia.org/wiki/Stem_cell_research_policy
We should increase ecotourism,"Eco-tourism is by far the most important source of tourism income in La Paz as people come to enjoy its marine wonders, as well as its diverse and often unique terrestrial species endemic to the region.","Eco-tourism is the most viable and sustainable option for the forests of Kwazulu-Natal, and several government, private and non-government projects to ensure this are underway or in the planning stages [REF].",2,"Hard to decide, they say basically the same but about different places","La Paz, Baja California Sur",Forests of KwaZulu-Natal,"https://en.wikipedia.org/wiki/La_Paz,_Baja_California_Sur",https://en.wikipedia.org/wiki/Forests_of_KwaZulu-Natal
